Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Virton;3349;2223;1126;83;1926;1022;318;272;851;3002;347;2359;685;305;2004
Dinant;9545;6461;3084;237;5715;2842;751;889;2364;8424;1121;6915;1878;752;2004
Namur;21726;14586;7140;473;13478;6373;1402;2029;4973;19831;1895;15242;5017;1467;2004
Philippeville;5127;3401;1726;112;3077;1534;404;407;1281;4566;561;3711;1002;414;2004
Nivelles;34907;23713;11194;535;21301;10917;2154;2601;8504;32500;2407;26906;5777;2224;2003
Ath;6298;4116;2182;135;3786;1875;502;534;1544;5415;883;4725;1071;502;2003
Charleroi;22415;14640;7775;509;13771;6696;1439;1907;5151;20297;2118;16200;4763;1452;2003
Mons;14128;9021;5107;334;8649;4204;941;1353;3226;12694;1434;10547;2674;907;2003
Mouscron;4466;2768;1698;111;2735;1344;276;445;1083;3743;723;3629;557;280;2003
Soignies;11509;7532;3977;244;7193;3301;771;1020;2634;10179;1330;8495;2259;755;2003
Thuin;10673;6906;3767;218;6436;3302;717;876;2634;9349;1324;8071;1901;701;2003
Tournai;10645;6941;3704;223;6295;3289;838;911;2730;9058;1587;8253;1596;796;2003
Huy;8028;5383;2645;148;5000;2328;552;676;1787;7199;829;5868;1602;558;2003
Liège;37115;24720;12395;827;22455;10940;2893;3448;8987;33993;3122;26784;7414;2917;2003
Verviers;22812;15584;7228;550;13774;6594;1894;1998;5620;20337;2475;16664;4190;1958;2003
Waremme;5747;3848;1899;107;3410;1767;463;443;1405;5161;586;4111;1175;461;2003
Arlon;2630;1651;979;57;1539;798;236;225;678;2311;319;1922;480;228;2003
Bastogne;4824;3306;1518;128;2863;1318;515;431;1252;4154;670;3351;972;501;2003
Marche-en-Famenne;5331;3663;1668;125;3279;1471;456;459;1283;4676;655;3822;1048;461;2003
Neufchâteau;6217;4337;1880;178;3655;1771;613;602;1601;5449;768;4229;1386;602;2003
Virton;3409;2257;1152;75;2001;1003;330;261;861;3022;387;2417;673;319;2003
Dinant;9567;6437;3130;240;5748;2779;800;841;2359;8383;1184;7032;1773;762;2003
Namur;21679;14465;7214;448;13475;6345;1411;2038;4887;19620;2059;15435;4792;1452;2003
Philippeville;5132;3375;1757;92;3119;1491;430;413;1268;4511;621;3764;944;424;2003
Nivelles;33075;23495;9580;608;20414;9963;2090;2664;7731;32289;786;25225;5608;2242;2002
Ath;5764;4096;1668;119;3538;1582;525;546;1398;5378;386;4271;1000;538;2002
Charleroi;21025;14644;6381;491;13209;5942;1383;1937;4561;20502;523;14824;4731;1470;2002
Mons;13134;8991;4143;336;8249;3665;884;1379;2820;12692;442;9606;2620;908;2002
